"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2";4;"MountingHole_2.2mm_M2";;;
2;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2";;;
3;"Q3";"TO-220-3_Vertical";1;"TIP42C";;;
4;"Cdes1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100n";;;
5;"J7";"JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical";1;"Screw_Terminal_01x03";;;
6;"SW2,SW1";"SW_SPST_TL3305A";2;"SW_DIP_x01";;;
7;"U3,U4";"DIP-4_W7.62mm";2;"PC817";;;
8;"J3,J1";"TerminalBlock_bornier-3_P5.08mm";2;"Screw_Terminal_01x03";;;
9;"Q2,Q1";"SOT23";2;"MMBT2222A";;;
10;"K2,K1";"RELAY_SRD-05VDC-SL-C";2;"SRD-05VDC-SL-C";;;
11;"J8";"TerminalBlock_bornier-2_P5.08mm";1;"Screw_Terminal_01x02";;;
12;"D10,D9,D7,D8,D3,D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"LED";;;
13;"C8,C6";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10u";;;
14;"C7,C5";"CP_Elec_6.3x5.8";2;"100u";;;
15;"U6";"TO-220-3_Vertical";1;"LM1117-3.3";;;
16;"U5";"TO-220-3_Vertical";1;"LM7805_TO220";;;
17;"R17,R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"220";;;
18;"R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
19;"R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"680";;;
20;"R11,R6,R5,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"R";;;
21;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"12K";;;
22;"D4,D2";"D_SMA_Handsoldering";2;"1N4007";;;
23;"U1";"ESP-32S";1;"ESP-32S";;;
