"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;",,,";"MountingHole_2.2mm_M2";4;"MountingHole_2.2mm_M2";;;
2;"R5";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"2";;;
3;"TH1";"JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical";1;"DHT22_Temperature_Humidity";;;
4;"J1";"JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical";1;"Screw_Terminal_01x03";;;
5;"J3";"JST_GH_BM05B-GHS-TBT_1x05-1MP_P1.25mm_Vertical";1;"Conn_01x04";;;
6;"U3";"TO-220-3_Vertical";1;"LM1117-3.3";;;
7;"SW2";"SW_SPST_TL3305A";1;"SW_DIP_x01";;;
8;"SW1";"SW_SPST_TL3305A";1;"SW_DIP_x02";;;
9;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
10;"Q1";"TO-220-3_Vertical";1;"TIP42C";;;
11;"Cdes1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100n";;;
12;"C2,C3";"CP_Elec_6.3x5.8";2;"100u";;;
13;"J5,J4";"JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical";2;"Conn_01x04_Male";;;
14;"J2";"TerminalBlock_bornier-2_P5.08mm";1;"Screw_Terminal_01x02";;;
15;"D2,D1,D3,D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"LED";;;
16;"C5,C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10u";;;
17;"U2";"TO-220-3_Vertical";1;"LM7805_TO220";;;
18;"R4,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"220";;;
19;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
20;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"680";;;
21;"R3,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"12K";;;
22;"U1";"ESP-32S";1;"ESP-32S";;;
